epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6083,1.78861,3.37881,1.59241,0.00277,0.98077,0.3995,0.17844,1.75645,3.10142,1.44872,0.000467512,0.000467512,0.000467512
2,35.5419,1.76473,2.84607,1.59878,0.54304,0.16195,0.40975,0.23065,1.45174,2.70253,1.47961,0.000925158,0.000925158,0.000925158
3,52.1631,1.82388,2.77046,1.64538,0.27327,0.50736,0.35803,0.23304,1.71279,3.88172,1.85595,0.00136394,0.00136394,0.00136394
4,68.7314,1.8578,2.64457,1.65584,0.13714,0.03846,0.08726,0.03374,2.22857,3.80825,2.04557,0.00134412,0.00134412,0.00134412
5,84.9225,1.8317,2.52928,1.61355,0.40443,0.69927,0.38865,0.15721,2.07776,3.63069,2.02123,0.00131582,0.00131582,0.00131582
6,101.209,1.76639,2.29692,1.55804,0.29737,0.71154,0.46502,0.23757,1.86692,2.94703,1.71519,0.00128753,0.00128753,0.00128753
7,117.9,1.72874,2.12093,1.53005,0.62234,0.50735,0.27842,0.15686,1.72474,2.93741,1.53644,0.00125923,0.00125923,0.00125923
8,134.54,1.74821,2.05616,1.52898,0.36626,0.58465,0.43569,0.19269,2.05076,1.94828,1.88028,0.00123094,0.00123094,0.00123094
9,150.867,1.69887,2.01186,1.50393,0.15884,0.4,0.18623,0.07315,2.1681,2.59214,2.04628,0.00120265,0.00120265,0.00120265
10,167.139,1.65257,1.88256,1.45287,0.44427,0.69615,0.52209,0.27821,1.75375,1.74067,1.47132,0.00117435,0.00117435,0.00117435
11,183.59,1.63946,1.85422,1.43935,0.27805,0.77327,0.38459,0.17469,1.95191,1.90695,1.79539,0.00114606,0.00114606,0.00114606
12,199.685,1.5825,1.77088,1.42492,0.61567,0.25,0.22816,0.07161,2.24103,2.82108,2.0523,0.00111776,0.00111776,0.00111776
13,215.947,1.58047,1.69755,1.42028,0.29638,0.63121,0.45859,0.22696,1.78714,2.02915,1.62999,0.00108947,0.00108947,0.00108947
14,232.133,1.62976,1.74279,1.44757,0.31333,0.87308,0.41656,0.19976,1.69561,2.0128,1.53871,0.00106118,0.00106118,0.00106118
15,248.408,1.55816,1.58323,1.39448,0.21856,0.58846,0.20356,0.10747,1.67281,2.45807,1.51048,0.00103288,0.00103288,0.00103288
16,264.582,1.50515,1.59618,1.3658,0.32393,0.52692,0.31314,0.15105,1.78377,2.51158,1.59465,0.00100459,0.00100459,0.00100459
17,280.747,1.50116,1.51727,1.38441,0.55563,0.44615,0.3849,0.17569,1.81766,1.92099,1.55555,0.000976293,0.000976293,0.000976293
18,296.878,1.48117,1.48575,1.33751,0.31376,0.88462,0.41063,0.1738,1.78882,1.78426,1.67335,0.000947999,0.000947999,0.000947999
19,312.85,1.48754,1.48174,1.35625,0.49353,0.46154,0.3743,0.20232,1.69396,2.43107,1.50821,0.000919704,0.000919704,0.000919704
20,329.259,1.51052,1.48682,1.3816,0.44068,0.85385,0.48439,0.23916,1.88237,1.54238,1.65,0.00089141,0.00089141,0.00089141
